epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,141.184,1.84995,2.36749,1.86951,0.43296,0.48667,0.49012,0.26573,1.70052,1.84463,1.88773,0.000389109,0.000389109,0.000389109
43,144.524,1.74607,2.29972,1.75068,0.4455,0.49265,0.50734,0.26515,1.72107,1.85957,1.88151,0.000384258,0.000384258,0.000384258
44,147.734,1.80713,2.23554,1.85281,0.49347,0.51144,0.54141,0.28747,1.68423,2.01208,1.86563,0.000379407,0.000379407,0.000379407
45,151.204,1.81054,2.23204,1.79027,0.51543,0.44852,0.53861,0.28752,1.71695,2.1007,1.89967,0.000374556,0.000374556,0.000374556
46,159.136,1.70247,2.15827,1.73396,0.43318,0.50513,0.54128,0.29263,1.65998,2.14175,1.85866,0.000369705,0.000369705,0.000369705
47,167.553,1.80764,2.14258,1.82296,0.48873,0.5123,0.55298,0.29681,1.62388,2.15187,1.84415,0.000364854,0.000364854,0.000364854
48,176.437,1.84004,2.42371,1.84205,0.47285,0.54932,0.56589,0.30963,1.60956,2.20121,1.85239,0.000360003,0.000360003,0.000360003
49,184.532,1.79597,2.31718,1.85139,0.556,0.51716,0.58071,0.30703,1.66095,2.29019,1.89995,0.000355152,0.000355152,0.000355152
50,192.97,1.67263,2.29052,1.75135,0.57088,0.4807,0.58217,0.30837,1.63404,2.19652,1.88212,0.000350301,0.000350301,0.000350301
51,202.814,1.66758,2.03794,1.7157,0.61165,0.46486,0.59604,0.33782,1.55563,1.90272,1.80537,0.00034545,0.00034545,0.00034545
52,210.752,1.64506,2.0323,1.74178,0.58075,0.5675,0.61807,0.35501,1.53161,1.71795,1.78379,0.000340599,0.000340599,0.000340599
53,218.407,1.67518,2.07434,1.72685,0.60429,0.5571,0.63727,0.37068,1.50803,1.67875,1.77661,0.000335748,0.000335748,0.000335748
54,225.519,1.62367,2.06298,1.76685,0.64409,0.58639,0.65841,0.38493,1.53175,1.60665,1.76436,0.000330897,0.000330897,0.000330897
55,228.55,1.71697,2.03557,1.76041,0.60736,0.60728,0.6426,0.3948,1.43847,1.56004,1.69631,0.000326046,0.000326046,0.000326046
